// Total Frames: 2656 
// Name  Frame  Time  x  y  z
// ===========================
RightHand 544 4.533333 -1.385182 1.178141 0.041148
RightHand 545 4.541667 -1.365932 1.183792 0.038831
RightHand 546 4.55 -1.347184 1.189105 0.036195
RightHand 547 4.558333 -1.32557 1.193808 0.033967
RightHand 548 4.566667 -1.303064 1.199322 0.030454
RightHand 549 4.575 -1.28097 1.203351 0.026398
RightHand 550 4.583333 -1.256385 1.208878 0.023506
RightHand 551 4.591667 -1.231697 1.213021 0.019249
RightHand 552 4.6 -1.206753 1.216402 0.014782
RightHand 553 4.608333 -1.179512 1.220332 0.011071
RightHand 554 4.616667 -1.152437 1.223915 0.006432
RightHand 555 4.625 -1.123518 1.226076 0.002724
RightHand 556 4.633333 -1.095261 1.228545 -0.001694
RightHand 557 4.641667 -1.065665 1.230424 -0.005365
RightHand 558 4.65 -1.035301 1.231019 -0.009036
RightHand 559 4.658333 -1.005398 1.231811 -0.011944
RightHand 560 4.666667 -0.975507 1.232156 -0.014549
RightHand 561 4.675 -0.946251 1.232107 -0.016098
RightHand 562 4.683333 -0.917884 1.231279 -0.017063
RightHand 563 4.691667 -0.891026 1.23064 -0.016846
RightHand 564 4.7 -0.866556 1.229454 -0.014795
RightHand 565 4.708333 -0.843276 1.227961 -0.0126
RightHand 566 4.716667 -0.823449 1.225572 -0.009295
RightHand 567 4.725 -0.806406 1.223973 -0.006086
RightHand 568 4.733333 -0.791162 1.221999 -0.003589
RightHand 569 4.741667 -0.779035 1.220767 -0.00199
RightHand 570 4.75 -0.766947 1.219729 -6.62E-4
RightHand 571 4.758333 -0.758684 1.218843 -3.52E-4
RightHand 572 4.766667 -0.750201 1.217582 -0.001071
RightHand 573 4.775 -0.743183 1.21551 -0.001547
RightHand 574 4.783333 -0.736608 1.212999 -0.00215
RightHand 575 4.791667 -0.7292 1.210573 -0.002392
RightHand 576 4.8 -0.72412 1.20747 -0.002157
RightHand 577 4.808333 -0.717836 1.204184 -0.001842
RightHand 578 4.816667 -0.71242 1.200493 -6.05E-4
RightHand 579 4.825 -0.707893 1.197768 -1.42E-4
RightHand 580 4.833333 -0.70305 1.195057 0.001581
RightHand 581 4.841667 -0.699264 1.192879 0.002842
RightHand 582 4.85 -0.695211 1.1906 0.004015
RightHand 583 4.858333 -0.692391 1.187634 0.005021
RightHand 584 4.866667 -0.689422 1.186528 0.006746
RightHand 585 4.875 -0.687503 1.184974 0.008471
RightHand 586 4.883333 -0.684623 1.184164 0.010326
RightHand 587 4.891667 -0.68307 1.183612 0.012261
RightHand 588 4.9 -0.68074 1.183126 0.015062
RightHand 589 4.908333 -0.680073 1.183853 0.018168
RightHand 590 4.916667 -0.679346 1.183837 0.020887
RightHand 591 4.925 -0.678691 1.184239 0.024028
RightHand 592 4.933333 -0.680206 1.184702 0.026697
RightHand 593 4.941667 -0.680685 1.185453 0.029834
RightHand 594 4.95 -0.684303 1.187223 0.032878
RightHand 595 4.958333 -0.687673 1.18811 0.035944
RightHand 596 4.966667 -0.692138 1.189847 0.039167
RightHand 597 4.975 -0.698908 1.190853 0.041829
RightHand 598 4.983333 -0.706875 1.19195 0.044509
RightHand 599 4.991667 -0.715242 1.192164 0.047397
RightHand 600 5.0 -0.725121 1.193255 0.051661
RightHand 601 5.008333 -0.735314 1.19295 0.054794
RightHand 602 5.016667 -0.747738 1.193363 0.059334
RightHand 603 5.025 -0.759973 1.192563 0.063389
RightHand 604 5.033333 -0.774143 1.191252 0.067552
RightHand 605 5.041667 -0.788246 1.190421 0.072902
RightHand 606 5.05 -0.804033 1.189102 0.077879
