Frame,Time,Varsha_Hip,Varsha_Hip,Varsha_Hip,Varsha_Ab,Varsha_Ab,Varsha_Ab,Varsha_Chest,Varsha_Chest,Varsha_Chest,Varsha_Neck,Varsha_Neck,Varsha_Neck,Varsha_Head,Varsha_Head,Varsha_Head,Varsha_LShoulder,Varsha_LShoulder,Varsha_LShoulder,Varsha_LUArm,Varsha_LUArm,Varsha_LUArm,Varsha_LFArm,Varsha_LFArm,Varsha_LFArm,Varsha_LHand,Varsha_LHand,Varsha_LHand,Varsha_RShoulder,Varsha_RShoulder,Varsha_RShoulder,Varsha_RUArm,Varsha_RUArm,Varsha_RUArm,Varsha_RFArm,Varsha_RFArm,Varsha_RFArm,Varsha_RHand,Varsha_RHand,Varsha_RHand,Varsha_LThigh,Varsha_LThigh,Varsha_LThigh,Varsha_LShin,Varsha_LShin,Varsha_LShin,Varsha_LFoot,Varsha_LFoot,Varsha_LFoot,Varsha_RThigh,Varsha_RThigh,Varsha_RThigh,Varsha_RShin,Varsha_RShin,Varsha_RShin,Varsha_RFoot,Varsha_RFoot,Varsha_RFoot
Frame,Time,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1693,14.333333,0.563562,0.834508,-0.43942,0.568689,0.908653,-0.442705,0.596447,1.120257,-0.439937,0.561819,1.340787,-0.445263,0.561798,1.489376,-0.446985,0.58435,1.315164,-0.408146,0.592351,1.337299,-0.275588,0.478357,1.065232,-0.188913,0.358998,1.164183,-0.236178,0.583711,1.313312,-0.480668,0.570257,1.313516,-0.614625,0.442998,1.036446,-0.654188,0.380528,1.124072,-0.497711,0.566764,0.838299,-0.348831,0.556653,0.486047,-0.33367,0.616776,0.0637,-0.326596,0.560359,0.830717,-0.53001,0.520376,0.481852,-0.563302,0.559981,0.057072,-0.569219
1694,14.366667,0.562896,0.834028,-0.437417,0.568684,0.908124,-0.440731,0.596495,1.119962,-0.436854,0.559794,1.340142,-0.442764,0.558485,1.488377,-0.445153,0.582973,1.314893,-0.40579,0.593083,1.337517,-0.273459,0.496761,1.061772,-0.177468,0.364957,1.147892,-0.208334,0.581537,1.312707,-0.478291,0.568189,1.313124,-0.612258,0.461526,1.028374,-0.65774,0.393053,1.095176,-0.495567,0.566522,0.837797,-0.346842,0.554187,0.485659,-0.330693,0.616472,0.063591,-0.326081,0.55927,0.83026,-0.527991,0.507727,0.482875,-0.560865,0.557754,0.059236,-0.569157
1695,14.4,0.562699,0.832696,-0.43535,0.568983,0.906742,-0.438846,0.595917,1.11919,-0.434703,0.556753,1.338936,-0.440952,0.553776,1.486823,-0.443466,0.580572,1.314064,-0.404129,0.592207,1.337696,-0.2721,0.514051,1.058337,-0.170227,0.371558,1.129012,-0.181181,0.578442,1.311623,-0.476605,0.565083,1.312038,-0.610571,0.478201,1.0215,-0.661234,0.404272,1.063917,-0.496182,0.566555,0.836645,-0.344792,0.551252,0.484604,-0.329069,0.615681,0.062847,-0.325642,0.558843,0.828746,-0.525907,0.489478,0.48453,-0.559332,0.554265,0.062941,-0.569687
1696,14.433333,0.561887,0.831185,-0.43364,0.568915,0.905133,-0.437747,0.595051,1.118125,-0.433769,0.552653,1.337257,-0.440469,0.54784,1.484803,-0.443457,0.577157,1.312871,-0.403771,0.58976,1.337561,-0.272025,0.528377,1.055166,-0.167084,0.381112,1.109328,-0.155754,0.574418,1.310126,-0.476215,0.560936,1.310194,-0.610169,0.490141,1.015719,-0.663086,0.411808,1.02922,-0.499223,0.565801,0.835841,-0.343119,0.54845,0.483883,-0.327662,0.615756,0.062568,-0.325336,0.557972,0.826529,-0.524161,0.472925,0.486105,-0.560107,0.545419,0.065888,-0.574403
1697,14.466667,0.55998,0.830007,-0.431829,0.567661,0.903842,-0.436729,0.5933,1.117179,-0.434394,0.54731,1.335559,-0.441893,0.54059,1.482981,-0.44525,0.572631,1.311793,-0.405343,0.587004,1.33759,-0.27399,0.540301,1.053705,-0.165563,0.38908,1.086928,-0.135353,0.569088,1.308561,-0.477732,0.554917,1.307626,-0.611612,0.495337,1.010254,-0.662091,0.4145,0.988359,-0.505853,0.564475,0.835542,-0.341384,0.545722,0.483635,-0.326428,0.615722,0.062755,-0.325379,0.555484,0.824472,-0.522274,0.461123,0.487188,-0.564098,0.528081,0.066294,-0.584249
1698,14.5,0.558289,0.828645,-0.431384,0.565921,0.902466,-0.436572,0.59059,1.116636,-0.436442,0.540825,1.334134,-0.445348,0.531968,1.481088,-0.449124,0.567252,1.31119,-0.409056,0.58388,1.3383,-0.278235,0.547865,1.054088,-0.166635,0.397746,1.063954,-0.119642,0.562342,1.307108,-0.481323,0.545116,1.303917,-0.614809,0.495831,1.004443,-0.663945,0.409547,0.948901,-0.518414,0.56409,0.834396,-0.341027,0.543072,0.482638,-0.325585,0.615202,0.062116,-0.32538,0.552489,0.822895,-0.521741,0.451591,0.488355,-0.56987,0.507036,0.066271,-0.598379
1699,14.533333,0.554927,0.82787,-0.43041,0.562447,0.901683,-0.435866,0.586491,1.11613,-0.439613,0.53275,1.332593,-0.450428,0.521384,1.478801,-0.455633,0.560504,1.310655,-0.414506,0.580036,1.339596,-0.284481,0.552888,1.054808,-0.171847,0.409185,1.043004,-0.109389,0.553791,1.305389,-0.48655,0.532613,1.299367,-0.619369,0.488063,0.997899,-0.660113,0.397864,0.913957,-0.533255,0.562948,0.833719,-0.340229,0.541708,0.481976,-0.324761,0.6149,0.061637,-0.325341,0.546906,0.822021,-0.52059,0.443439,0.489497,-0.576592,0.482934,0.066431,-0.615276
1700,14.566667,0.552108,0.828218,-0.431716,0.559916,0.902021,-0.436885,0.580338,1.115726,-0.44285,0.523242,1.331114,-0.45732,0.50904,1.476358,-0.464461,0.552246,1.310423,-0.421647,0.574796,1.342186,-0.292774,0.556178,1.056728,-0.180101,0.420606,1.022846,-0.105664,0.543707,1.303343,-0.493342,0.516915,1.2928,-0.624858,0.472407,0.98981,-0.652137,0.379311,0.878641,-0.553108,0.561191,0.833568,-0.341605,0.539922,0.481884,-0.324884,0.614387,0.061769,-0.325343,0.543025,0.822867,-0.521827,0.437119,0.492118,-0.583493,0.458569,0.068788,-0.632211
1701,14.6,0.548864,0.827635,-0.43363,0.556058,0.901472,-0.439185,0.573118,1.115539,-0.446632,0.511631,1.329337,-0.465892,0.49457,1.473644,-0.4753,0.541985,1.310256,-0.430446,0.567174,1.345495,-0.302974,0.55765,1.059414,-0.190747,0.432077,1.005072,-0.108312,0.531615,1.300861,-0.501632,0.499139,1.284516,-0.631261,0.456536,0.980339,-0.645013,0.362884,0.844312,-0.581281,0.559159,0.8334,-0.343675,0.539489,0.481745,-0.324537,0.614093,0.061655,-0.325102,0.53857,0.82187,-0.523585,0.430034,0.493172,-0.591344,0.436485,0.07046,-0.648921
1702,14.633333,0.544565,0.827571,-0.436925,0.551187,0.90145,-0.442643,0.564779,1.115441,-0.451487,0.498016,1.327132,-0.475794,0.478209,1.470105,-0.488705,0.529734,1.309862,-0.440614,0.556624,1.349239,-0.31471,0.558157,1.062506,-0.203762,0.442885,0.989459,-0.115917,0.517664,1.297956,-0.511154,0.479452,1.274157,-0.638035,0.444081,0.968749,-0.639601,0.35444,0.813611,-0.605541,0.556344,0.833463,-0.347161,0.537894,0.481907,-0.325207,0.61344,0.061985,-0.324783,0.532785,0.82168,-0.52669,0.423355,0.494313,-0.599282,0.417468,0.072609,-0.66388
1703,14.666667,0.539964,0.827261,-0.441564,0.545878,0.901182,-0.447508,0.555548,1.11538,-0.457884,0.482149,1.324173,-0.487538,0.460077,1.46553,-0.504221,0.515228,1.309011,-0.452641,0.543491,1.35299,-0.328574,0.556149,1.066619,-0.217401,0.452336,0.975251,-0.126971,0.501726,1.294357,-0.522399,0.458617,1.262259,-0.645837,0.422868,0.957047,-0.636062,0.34706,0.793785,-0.627068,0.553179,0.833404,-0.352017,0.535812,0.482042,-0.326389,0.612228,0.062284,-0.323941,0.526748,0.821119,-0.531112,0.416479,0.49476,-0.606903,0.403232,0.073946,-0.676053
1704,14.7,0.534647,0.826817,-0.447426,0.539878,0.900765,-0.453661,0.544372,1.115152,-0.467451,0.464137,1.320784,-0.501199,0.440015,1.460095,-0.521724,0.49848,1.307608,-0.46672,0.528226,1.356316,-0.344785,0.550051,1.071135,-0.231987,0.461209,0.964585,-0.139494,0.483743,1.290541,-0.535675,0.435931,1.250879,-0.655117,0.399898,0.946085,-0.636933,0.330617,0.780207,-0.643442,0.54909,0.833327,-0.358094,0.533174,0.482271,-0.327768,0.610774,0.062753,-0.322749,0.520203,0.820307,-0.536757,0.408524,0.494814,-0.61419,0.396943,0.074131,-0.684432
1705,14.733333,0.529274,0.826906,-0.454612,0.53356,0.90088,-0.461251,0.531492,1.114833,-0.478931,0.444667,1.317126,-0.516349,0.418546,1.454544,-0.540707,0.480162,1.305881,-0.482356,0.510798,1.358778,-0.362402,0.541349,1.075738,-0.246286,0.469305,0.957431,-0.152525,0.464322,1.286488,-0.550445,0.413188,1.241521,-0.666587,0.377327,0.937023,-0.643729,0.310796,0.771344,-0.660373,0.544469,0.834027,-0.365452,0.531843,0.483296,-0.330206,0.609047,0.063775,-0.321079,0.514079,0.819785,-0.543772,0.400132,0.494755,-0.619836,0.398693,0.073654,-0.688494
1706,14.766667,0.52439,0.828422,-0.463371,0.527237,0.902423,-0.470476,0.517613,1.114749,-0.492353,0.424674,1.313655,-0.533095,0.396743,1.449395,-0.560757,0.460974,1.304191,-0.499411,0.491898,1.360303,-0.381002,0.53146,1.080141,-0.2607,0.476513,0.952692,-0.16505,0.444653,1.282767,-0.566774,0.391507,1.233668,-0.68031,0.348171,0.930343,-0.654939,0.28122,0.764661,-0.678047,0.540428,0.836344,-0.374427,0.531653,0.486023,-0.334284,0.607361,0.066375,-0.319934,0.508351,0.8205,-0.552316,0.394,0.49459,-0.623871,0.397705,0.072851,-0.6884
1707,14.8,0.519393,0.831429,-0.473281,0.52025,0.905417,-0.481004,0.501139,1.114205,-0.508286,0.404896,1.311103,-0.551058,0.375202,1.44507,-0.581543,0.44147,1.302625,-0.517408,0.472786,1.360981,-0.400193,0.521349,1.083694,-0.276575,0.483095,0.950367,-0.177442,0.425235,1.280128,-0.584441,0.370524,1.227838,-0.695788,0.31365,0.926648,-0.671755,0.245614,0.762524,-0.700283,0.536252,0.840491,-0.384598,0.533375,0.490678,-0.339472,0.604872,0.07055,-0.318925,0.502534,0.822368,-0.561965,0.389234,0.494633,-0.626514,0.397703,0.072469,-0.687734
1708,14.833333,0.513757,0.8355,-0.483377,0.512566,0.909382,-0.492009,0.484159,1.114118,-0.524692,0.386137,1.309659,-0.569597,0.354945,1.44186,-0.602106,0.422815,1.301887,-0.535889,0.45467,1.36134,-0.419373,0.512743,1.087651,-0.291899,0.490011,0.950288,-0.189173,0.40672,1.278488,-0.602647,0.34942,1.223852,-0.711538,0.277263,0.925616,-0.692143,0.207179,0.76576,-0.727566,0.531309,0.846108,-0.395,0.536309,0.496965,-0.345118,0.602681,0.076433,-0.317033,0.496206,0.824891,-0.571754,0.386577,0.494942,-0.631163,0.398191,0.072376,-0.688997
